Epochs, Classification Accuracy, Training MSE
109,0.6522911051212938,0.4851602814878379
110,0.6725067385444744,0.47745809476030315
111,0.6576819407008087,0.4863897896280768
112,0.6671159029649596,0.47820659929139375
113,0.683288409703504,0.4707573631380215
114,0.6563342318059299,0.48011283150360473
115,0.6805929919137467,0.4683900253107397
116,0.683288409703504,0.4591351804107151
117,0.6792452830188679,0.4651791271230502
118,0.6940700808625337,0.44747342086454767
119,0.6792452830188679,0.4560945607306576
120,0.692722371967655,0.43851656443460413
121,0.6711590296495957,0.4544035865078668
122,0.6752021563342318,0.45548529892512296
123,0.6873315363881402,0.4501136730332749
124,0.7035040431266847,0.43339176016198583
125,0.6954177897574124,0.4464695761878225
126,0.6765498652291105,0.44519829231585517
127,0.6711590296495957,0.46327389281936704
128,0.7102425876010782,0.4257353726118378
129,0.6900269541778976,0.4327524519468607
130,0.6819407008086253,0.4394047387696992
131,0.7035040431266847,0.4307535795725799
132,0.7048517520215634,0.4236020672667326
133,0.6873315363881402,0.4366114412427101
134,0.7196765498652291,0.41521065710864635
135,0.7088948787061995,0.41042646601319105
136,0.6873315363881402,0.43595571411369466
137,0.7075471698113207,0.4107762040731937
138,0.7142857142857143,0.4128149176192772
139,0.7304582210242587,0.39622849471161964
140,0.7196765498652291,0.41111912786861815
141,0.7345013477088949,0.39657330016702386
142,0.7547169811320755,0.3817453828612004
143,0.7358490566037735,0.388316931977673
144,0.7237196765498652,0.39616472636332273
145,0.7425876010781671,0.3867962391291766
146,0.7035040431266847,0.42247242881780156
147,0.7304582210242587,0.397716189681782
148,0.7452830188679245,0.3930257693883181
149,0.7506738544474394,0.37031113828194645
150,0.7533692722371967,0.36720351722319106
151,0.761455525606469,0.36328832070511863
152,0.7345013477088949,0.3819128041222613
153,0.7331536388140162,0.379845040578239
154,0.7412398921832885,0.3695720743936284
155,0.7008086253369272,0.42542353004717737
156,0.7412398921832885,0.3764094626551537
157,0.7587601078167115,0.3731067812934486
158,0.7789757412398922,0.34120677112460784
159,0.7560646900269542,0.3538158877567273
160,0.7735849056603774,0.3423498065933902
161,0.7210242587601078,0.3883561551018926
162,0.7560646900269542,0.3606151472741823
163,0.7695417789757413,0.34243738046449834
164,0.7466307277628033,0.3814291217302014
165,0.7803234501347709,0.33659702667970554
166,0.7857142857142857,0.33761657480702306
167,0.7991913746630728,0.3227344063830604
168,0.77088948787062,0.334990345207539
169,0.7695417789757413,0.34771464154697335
170,0.7911051212938005,0.327835973014139
171,0.8005390835579514,0.315356133670697
172,0.7830188679245284,0.33248178149754415
173,0.7951482479784366,0.33345631161596334
174,0.7762803234501348,0.3354228722009349
175,0.7911051212938005,0.3313451544311488
176,0.7345013477088949,0.3850827001257676
177,0.77088948787062,0.34417469779480864
178,0.7870619946091644,0.3129533937155839
179,0.7816711590296496,0.3318105135603785
180,0.7803234501347709,0.3339998833902465
181,0.7789757412398922,0.3350945760983182
182,0.7789757412398922,0.3325281679924603
183,0.7978436657681941,0.3069698508210837
184,0.7668463611859838,0.3410335507184757
185,0.8005390835579514,0.29947583175717907
186,0.7964959568733153,0.31457746308252366
187,0.7466307277628033,0.3619118459915621
188,0.738544474393531,0.36154455156025206
189,0.793800539083558,0.3058369787876964
190,0.7587601078167115,0.35748114329372754
191,0.7681940700808625,0.3315922123816424
192,0.7735849056603774,0.33842843028678077
193,0.7560646900269542,0.34728661969233143
194,0.7897574123989218,0.33964012231385826
195,0.7681940700808625,0.3460342297766292
196,0.7789757412398922,0.33115009716852306
197,0.7830188679245284,0.3168891269894157
198,0.77088948787062,0.34901180007138843
199,0.7749326145552561,0.3372393557689686
200,0.7830188679245284,0.3273010506598353
201,0.807277628032345,0.3008555433902355
202,0.8099730458221024,0.28392414864027404
203,0.8059299191374663,0.29161305152902095
204,0.761455525606469,0.34366824095321485
205,0.8140161725067385,0.28717841722483106
206,0.7964959568733153,0.30465757738832766
207,0.7897574123989218,0.3188846889400553
208,0.7762803234501348,0.32455255822760226
209,0.77088948787062,0.33583816097396385
210,0.7439353099730458,0.37727245388036024
211,0.72911051212938,0.3738549071378319
212,0.7668463611859838,0.335809620848043
213,0.8005390835579514,0.3007010298760613
214,0.7749326145552561,0.33860555728276076
215,0.7924528301886793,0.3122924435479749
216,0.7911051212938005,0.3158949754997849
